icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
KDTW,Detroit Metro Wayne Co,Detroit,MI,US,42.2124311,-83.3533933,America/Detroit,EAST
KDUA,Durant Rgnl/Eaker Fld,Durant,OK,US,33.9396975,-96.3950575,America/Chicago,WEST
KDUB,Dubois Muni,Dubois,WY,US,43.5486514,-109.6908278,America/Denver,WEST
KDUC,Halliburton Fld,Duncan,OK,US,34.4708733,-97.9598603,America/Chicago,WEST
KDUG,Bisbee Douglas Intl,Douglas Bisbee,AZ,US,31.4689444,-109.60375,America/Phoenix,WEST
KDUH,Toledo Suburban,Lambertville,MI,US,41.735875,-83.6557639,America/Detroit,EAST
KDUJ,Dubois Rgnl,Dubois,PA,US,41.1782778,-78.8986944,America/New_York,EAST
KDUX,Moore County,Dumas,TX,US,35.8574307,-102.0133093,America/Chicago,WEST
KDVK,Stuart Powell Fld,Danville,KY,US,37.5775751,-84.7694978,America/New_York,EAST
KDVL,Devils Lake Rgnl,Devils Lake,ND,US,48.1165908,-98.9099881,America/Chicago,WEST
KDVN,Davenport Muni,Davenport,IA,US,41.6102778,-90.5883611,America/Chicago,WEST
